Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,InitialisationMethod,MutateChangePopulation,MaxMutationRate,AverageFitness
60,-4.3491,4.3491,158,3,0.1866,lhs,0.6176,0.4568,0.2412
61,-3.1675,3.1675,206,19,0.5707,sobol,0.32,0.5393,0.171
62,-2.9472,2.9472,166,16,0.6886,random,0.8423,0.5535,0.1694
63,-3.3054,3.3054,30,9,0.1975,sobol,0.7242,0.4424,0.2123
64,-1.1277,1.1277,290,3,0.2557,lhs,0.4847,0.545,0.1475
65,-0.8822,0.8822,300,24,0.6952,lhs,0.7205,0.2136,0.094
66,-1.7639,1.7639,150,33,0.4833,random,0.6687,0.2263,0.1662
67,-3.7137,3.7137,197,6,0.5037,sobol,0.644,0.5369,0.1313
68,-1.768,1.768,289,17,0.5881,lhs,0.4366,0.3712,0.2105
69,-3.7317,3.7317,285,18,0.1368,lhs,0.1272,0.2063,0.3762
70,-2.9158,2.9158,165,15,0.3777,sobol,0.4037,0.4103,0.1364
71,-2.3964,2.3964,231,19,0.1988,sobol,0.4324,0.4236,0.1083
72,-2.0641,2.0641,150,13,0.1001,lhs,0.1859,0.3882,0.2275
73,-0.9286,0.9286,186,7,0.2282,random,0.6384,0.4873,0.1537
74,-0.3433,0.3433,338,22,0.2464,lhs,0.3902,0.518,0.1232
75,-3.6045,3.6045,202,33,0.6748,lhs,0.3784,0.3648,0.273


